1_q	خماسي كلوريد الزرنيخ مركب كيميائي له الصيغة (كلمة ناقصة) ، ويكون على شكل بلورات بيضاء. 
1_q_triples	 كلوريد الزرنيخ الخماسي -- حالة خاصة من -- مركب كيميائي  ; كلوريد الزرنيخ الخماسي -- الصيغة الكيميائية -- AtClu2085  ; كلوريد الزرنيخ الخماسي -- يتكون من -- زرنيخ  ; كلوريد الزرنيخ الخماسي -- يتكون من -- كلور  ; كلوريد الزرنيخ الخماسي -- مواصفات الإدخال النصي المبسط للجزيئات -- [Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[At+5]  ; كلوريد الزرنيخ الخماسي -- تصنيف كومنز -- Artenic
2_q	الزنباق قرية سورية تتبع ناحية مركز الرقة في منطقة مركز الرقة في محافظة الرقة. 
2_q_triples	 الزنباق -- حالة خاصة من -- قرية ; الزنباق -- البلد -- سوريا ; الزنباق -- مكانة في التقسيم الإداري -- محافظة الرقة ;
3_q	الحسيوة هي إحدى قرى عزلة زارة بمديرية لودر التابعة لمحافظة أبين ، بلغ تعداد سكانها (رقم ناقص) نسمة حسب تعداد اليمن لعام (عام). 
3_q_triples	 الحسيوة -- حالة خاصة من -- مستوطنة بشرية ; الحسيوة -- البلد -- اليمن ; الحسيوة -- مكانة في التقسيم الإداري -- عزلة زارة ;
4_q	المحسنة قرية سوري ّ ة تتبع إداري ّ ا ً لمحافظة حلب منطقة جبل سمعان ناحية تل الضمان ، بلغ تعداد سكانها (رقم ناقص) نسمة حسب التعداد السكاني لعام (عام). 
4_q_triples	 المحسنة -- حالة خاصة من -- قرية ; المحسنة -- البلد -- سوريا ;
5_q	كليثرال (بالإنجليزية: (كلمة ناقصة), Minnesota) هي مدينة تقع في ولاية مينيسوتا في الولايات المتحدة. 
5_q_triples	 كليثرال -- البلد -- الولايات المتحدة الأمريكية ; كليثرال -- حالة خاصة من -- مدينة ; كليثرال -- مكانة في التقسيم الإداري -- مقاطعة أوتر تيل، مينيسوتا ; كليثرال -- الرمز البريدي -- 56524 ;
6_q	بلدية دورانغو (بالإسبانية: (كلمة ناقصة)) هي بلدية تقع في مقاطعة بيسكاي, التي تقع في منطقة الباسك شمالي إسبانيا. 
