,Participant ID,ai_1_q,ai_2_q,news_3_q,ai_4_q,wiki_5_q,ai_6_q,ai_7_q,wiki_8_q,ai_9_q,ai_10_q,wiki_11_q,ai_12_q,ai_13_q,ai_14_q,wiki_15_q,news_16_q,news_17_q,wiki_18_q,wiki_19_q,ai_20_q,news_21_q,ai_22_q,wiki_23_q,ai_24_q,ai_25_q,wiki_26_q,ai_27_q,news_28_q,ai_29_q,ai_30_q,ai_31_q,wiki_32_q,news_33_q,news_34_q,ai_35_q,wiki_36_q,news_37_q,news_38_q,ai_39_q,news_40_q,news_41_q,ai_42_q,wiki_43_q,wiki_44_q,news_45_q,ai_46_q,news_47_q,ai_48_q,news_49_q,ai_50_q,ai_51_q,ai_52_q,ai_53_q,ai_54_q,ai_55_q,news_56_q,wiki_57_q,ai_58_q
12,2506826,4.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2506904,3.0,5.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2506934,4.0,2.0,0.0,5.0,5.0,4.0,0.0,4.0,4.0,6.0,6.0,5.0,6.0,0.0,6.0,6.0,6.0,6.0,4.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2507012,6.0,6.0,6.0,6.0,6.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2507250,5.0,5.0,5.0,4.0,5.0,4.0,0.0,4.0,4.0,4.0,5.0,5.0,5.0,0.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0
67,2507545,1.0,3.0,6.0,6.0,2.0,6.0,0.0,3.0,3.0,3.0,6.0,6.0,6.0,0.0,3.0,3.0,6.0,6.0,6.0,0.0,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2507554,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,2507559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2507614,2.0,3.0,2.0,4.0,4.0,2.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2507661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2507666,3.0,5.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2507767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,2507831,5.0,3.0,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2507902,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,2508188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,2508196,1.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,2508440,4.0,5.0,4.0,6.0,5.0,5.0,2.0,6.0,3.0,6.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
