,Participant ID,wiki_1_q,wiki_2_q,ai_3_q,wiki_4_q,ai_5_q,ai_6_q,wiki_7_q,ai_8_q,ai_9_q,news_10_q,ai_11_q,news_12_q,ai_13_q,ai_14_q,ai_15_q,ai_16_q,wiki_17_q,ai_18_q,wiki_19_q,news_20_q,ai_21_q,ai_22_q,news_23_q,ai_24_q,news_25_q,wiki_26_q,wiki_27_q,wiki_28_q,ai_29_q,ai_30_q,news_31_q,wiki_32_q,ai_33_q,ai_34_q,ai_35_q,wiki_36_q,ai_37_q,wiki_38_q,ai_39_q,ai_40_q,ai_41_q,wiki_42_q,ai_43_q,wiki_44_q,news_45_q,ai_46_q,ai_47_q,ai_48_q,ai_49_q,ai_50_q,news_51_q,ai_52_q,wiki_53_q,news_54_q,news_55_q,news_56_q
12,2508179,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2508190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2508213,5.0,4.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2508250,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,2508320,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,3.0,4.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,2508326,6.0,6.0,6.0,6.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,3.0,4.0,3.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,6.0,4.0,2.0,6.0,2.0,6.0,6.0,6.0,6.0,3.0,5.0,5.0,6.0,6.0,4.0,6.0,6.0,3.0,5.0,6.0,4.0,6.0,5.0
41,2508360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2508385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2508413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2508424,5.0,4.0,3.0,6.0,3.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,2508437,5.0,5.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,2508473,6.0,6.0,6.0,4.0,5.0,4.0,4.0,6.0,2.0,1.0,6.0,2.0,0.0,6.0,6.0,6.0,5.0,2.0,6.0,0.0,4.0,3.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2508492,3.0,6.0,5.0,6.0,1.0,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,5.0,6.0,0.0,0.0,1.0,2.0,6.0,3.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,3.0,6.0,1.0,6.0,0.0,6.0,5.0,0.0,5.0,3.0,6.0,6.0,3.0,6.0,6.0,3.0,0.0,3.0,3.0,6.0,4.0
75,2508535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2508970,3.0,3.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,2508982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,2508988,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,2509356,6.0,6.0,6.0,6.0,2.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,6.0,6.0,6.0,3.0,6.0,6.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,2509525,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,2509674,3.0,4.0,6.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,2509684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,2509787,6.0,6.0,6.0,6.0,6.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,2510533,5.0,6.0,2.0,6.0,5.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,2511357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,2511375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,2513938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,2519393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
